GeographySummary	GeographyVariant	GeographyNation	GeographyState	2017 NAICS code	Employment size of establishments code	Year	Number of establishments
040	0000	US	40	31-33	220	2017	464
040	0000	US	40	31-33	225	2017	456
040	0000	US	40	31-33	230	2017	223
040	0000	US	40	31-33	235	2017	174
040	0000	US	40	31-33	240	2017	97
040	0000	US	40	31-33	500	2017	34
040	0000	US	41	31-33	1	2017	5557
040	0000	US	41	31-33	100	2017	5499
040	0000	US	41	31-33	210	2017	2796
040	0000	US	41	31-33	215	2017	648
040	0000	US	41	31-33	220	2017	660
040	0000	US	41	31-33	225	2017	694
040	0000	US	41	31-33	230	2017	321
040	0000	US	41	31-33	235	2017	267
040	0000	US	41	31-33	240	2017	113
040	0000	US	41	31-33	500	2017	58
040	0000	US	42	31-33	1	2017	13537
040	0000	US	42	31-33	100	2017	13391
040	0000	US	42	31-33	210	2017	5537
040	0000	US	42	31-33	215	2017	1624
040	0000	US	42	31-33	220	2017	1818
040	0000	US	42	31-33	225	2017	2071
040	0000	US	42	31-33	230	2017	1071
040	0000	US	42	31-33	235	2017	876
040	0000	US	42	31-33	240	2017	394
040	0000	US	42	31-33	500	2017	146
040	0000	US	44	31-33	1	2017	1340
040	0000	US	44	31-33	100	2017	1328
040	0000	US	44	31-33	210	2017	587
040	0000	US	44	31-33	215	2017	177
040	0000	US	44	31-33	220	2017	185
040	0000	US	44	31-33	225	2017	209
040	0000	US	44	31-33	230	2017	96
040	0000	US	44	31-33	235	2017	53
040	0000	US	44	31-33	240	2017	21
040	0000	US	44	31-33	500	2017	12
040	0000	US	45	31-33	1	2017	3827
040	0000	US	45	31-33	100	2017	3791
040	0000	US	45	31-33	210	2017	1437
040	0000	US	45	31-33	215	2017	425
040	0000	US	45	31-33	220	2017	523
040	0000	US	45	31-33	225	2017	570
040	0000	US	45	31-33	230	2017	313
040	0000	US	45	31-33	235	2017	331
040	0000	US	45	31-33	240	2017	192
040	0000	US	45	31-33	500	2017	36
040	0000	US	46	31-33	1	2017	1051
040	0000	US	46	31-33	100	2017	1043
040	0000	US	46	31-33	210	2017	480
040	0000	US	46	31-33	215	2017	131
040	0000	US	46	31-33	220	2017	130
040	0000	US	46	31-33	225	2017	132
040	0000	US	46	31-33	230	2017	80
040	0000	US	46	31-33	235	2017	54
040	0000	US	46	31-33	240	2017	36
040	0000	US	46	31-33	500	2017	8
040	0000	US	47	31-33	1	2017	5811
040	0000	US	47	31-33	100	2017	5746
040	0000	US	47	31-33	210	2017	2372
040	0000	US	47	31-33	215	2017	661
040	0000	US	47	31-33	220	2017	715
040	0000	US	47	31-33	225	2017	816
040	0000	US	47	31-33	230	2017	461
040	0000	US	47	31-33	235	2017	440
040	0000	US	47	31-33	240	2017	281
040	0000	US	47	31-33	500	2017	65
040	0000	US	48	31-33	1	2017	19844
040	0000	US	48	31-33	100	2017	19666
040	0000	US	48	31-33	210	2017	8738
040	0000	US	48	31-33	215	2017	2527
040	0000	US	48	31-33	220	2017	2493
040	0000	US	48	31-33	225	2017	2942
040	0000	US	48	31-33	230	2017	1369
040	0000	US	48	31-33	235	2017	1079
040	0000	US	48	31-33	240	2017	518
040	0000	US	48	31-33	500	2017	178
040	0000	US	49	31-33	1	2017	3377
040	0000	US	49	31-33	100	2017	3345
040	0000	US	49	31-33	210	2017	1632
040	0000	US	49	31-33	215	2017	422
040	0000	US	49	31-33	220	2017	429
040	0000	US	49	31-33	225	2017	423
040	0000	US	49	31-33	230	2017	201
040	0000	US	49	31-33	235	2017	143
040	0000	US	49	31-33	240	2017	95
